Baggie ID,ID,Status,Tolerance,Time,Lipid/ Biomass (g/gdw),Tolerance.Time,Date
M-10-I-V,10,na,R,0,0.169,R0,9/1/17
M-13-I-V,13,na,R,0,0.172,R0,9/1/17
M-20-I-V,20,na,S,0,0.1857,S0,9/1/17
M-21-I-V,21,na,R,0,0.2407,R0,9/1/17
M-25-I-V,25,na,S,0,0.1832,S0,9/1/17
M-26-I-V,26,na,R,0,0.2577,R0,9/1/17
M-28-I-V,28,na,S,0,0.1782,S0,9/1/17
M-5-I-V,5,na,S,0,0.1765,S0,9/1/17
M-55-I-V,55,na,S,0,0.1611,S0,9/1/17
M-66-I-V,66,na,R,0,0.2247,R0,9/1/17
M-73-I-V,73,na,S,0,0.2557,S0,9/1/17
M-74-I-V,74,na,R,0,0.2587,R0,9/1/17
M-10-B-V-T2,10,B,R,2,0.1395,R2,10/1/17
M-10-NB-V-T2,10,NB,R,2,0.1737,R2,10/1/17
M-13-B-V-T2,13,B,R,2,0.2213,R2,10/1/17
M-13-NB-V-T2,13,NB,R,2,0.1712,R2,10/1/17
M-20-B-V-T2,20,B,S,2,0.176,S2,10/1/17
M-20-NB-V-T2,20,NB,S,2,0.1726,S2,10/1/17
M-21-B-V-T2,21,B,R,2,0.1927,R2,10/1/17
M-21-NB-V-T2,21,NB,R,2,0.2174,R2,10/1/17
M-25-B-V-T2,25,B,S,2,0.0719,S2,10/1/17
M-25-NB-V-T2,25,NB,S,2,0.1893,S2,10/1/17
M-26-B-V-T2,26,B,R,2,0.1483,R2,10/1/17
M-26-NB-V-T2,26,NB,R,2,0.2568,R2,10/1/17
M-28-B-V-T2,28,B,S,2,0.0588,S2,10/1/17
M-28-NB-V-T2,28,NB,S,2,0.1878,S2,10/1/17
M-5-B-V-T2,5,B,S,2,0.0435,S2,10/1/17
M-5-NB-V-T2,5,NB,S,2,0.2041,S2,10/1/17
M-55-B-V-T2,55,B,S,2,0.1408,S2,10/1/17
M-55-NB-V-T2,55,NB,S,2,0.165,S2,10/1/17
M-66-B-V-T2,66,B,R,2,0.1953,R2,10/1/17
M-66-NB-V-T2,66,NB,R,2,0.2163,R2,10/1/17
M-73-B-V-T2,73,B,S,2,0.0877,S2,10/1/17
M-73-NB-V-T2,73,NB,S,2,0.2037,S2,10/1/17
M-74-B-V-T2,74,B,R,2,0.2186,R2,10/1/17
M-74-NB-V-T2,74,NB,R,2,0.2413,R2,10/1/17
M-10-B-T3-R,10,B,R,3,0.1733,R3,12/1/17
M-10-NB-T3-R,10,NB,R,3,0.1538,R3,12/1/17
M-13-B-T3-R,13,B,R,3,0.1886,R3,12/1/17
M-13-NB-T3-R,13,NB,R,3,0.1667,R3,12/1/17
M-21-B-T3-R,21,B,R,3,0.2,R3,12/1/17
M-21-NB-T3-R,21,NB,R,3,0.2836,R3,12/1/17
M-66-NB-T3-R,66,NB,R,3,0.2481,R3,12/1/17
M-74-B-T3-R,74,B,R,3,0.2448,R3,12/1/17
M-74-NB-T3-PP,74,NB,R,3,0.2081,R3,12/1/17
M-10-NB-T4-R,10,NB,R,4,0.2792,R4,3/1/18
M-26-NB-T4-R,26,NB,R,4,0.2867,R4,3/1/18
M-32-B-T4-R,32,B,R,4,0.3187,na4,3/1/18
M-66-B-T4-R,66,B,R,4,0.2614,R4,3/1/18
M-66-NB-T4-R,66,NB,R,4,0.3566,R4,3/1/18
M-74-B-T4-R,74,B,R,4,0.2867,R4,3/1/18
M-74-NB-T4-R,74,NB,R,4,0.2273,R4,3/1/18
M-10-B-T5,10,B,R,5,0.2387,R5,6/1/18
M-10-NB-T5,10,NB,R,5,0.225,R5,6/1/18
M-13-B-T5,13,B,R,5,0.2409,R5,6/1/18
M-13-NB-T5,13,NB,R,5,0.2862,R5,6/1/18
M-21-B-T5,21,B,R,5,0.2338,R5,6/1/18
M-21-NB-T5,21,NB,R,5,0.2073,R5,6/1/18
M-26-B-T5,26,B,R,5,0.4078,R5,6/1/18
M-26-NB-T5,26,NB,R,5,0.3191,R5,6/1/18
M-66-B-T5,66,B,R,5,0.3024,R5,6/1/18
M-66-NB-T5,66,NB,R,5,0.2454,R5,6/1/18
M-74-B-T5,74,B,R,5,0.2873,R5,6/1/18
M-74-NB-T5,74,NB,R,5,0.3171,R5,6/1/18
M-10-B-V-T6,10,B,R,6,0.2327,R6,7/1/18
M-10-NB-T6,10,NB,R,6,0.2376,R6,7/1/18
M-13-B-T6,13,B,R,6,0.2448,R6,7/1/18
M-13-NB-T6,13,NB,R,6,0.2119,R6,7/1/18
M-21-B-T6,21,B,R,6,0.2688,R6,7/1/18
M-21-NB-T6,21,NB,R,6,0.3343,R6,7/1/18
M-26-B-T6,26,B,R,6,0.4484,R6,7/1/18
M-26-NB-T6,26,NB,R,6,0.2531,R6,7/1/18
M-66-B-V-T6,66,B,R,6,0.4327,R6,7/1/18
M-66-NB-T6,66,NB,R,6,0.1825,R6,7/1/18
M-74-B-T6-V,74,B,R,6,0.3976,R6,7/1/18
