Sample,Treatment,Time,Stage,area,feret,feret_bin,NewStage
M15,Non-Bleached,T5,II,57836.79597,335.15014,14,2
M24,Non-Bleached,T5,II,62064.44774,339.48619,14,2
M24,Non-Bleached,T5,II,50740.95114,344.46467,14,2
M24,Non-Bleached,T5,II,51790.90245,344.96194,14,2
M24,Non-Bleached,T5,II,50336.49164,346.66089,14,2
M12,Non-Bleached,T5,II,48046.68479,349.96036,14,2
M24,Non-Bleached,T5,II,50602.17497,350.25765,15,2
M12,Non-Bleached,T5,II,34055.85538,353.15405,15,2
M29,Non-Bleached,T5,II,67701.554,353.662,15,2
M29,Non-Bleached,T5,II,69393.783,356.196,15,2
M12,Non-Bleached,T5,II,34692.67367,358.69033,15,2
M12,Non-Bleached,T5,II,51238.99326,365.07083,15,2
M24,Non-Bleached,T5,II,63823.34442,369.57713,15,2
M24,Non-Bleached,T5,II,48320.12863,370.48696,15,2
M24,Non-Bleached,T5,II,53824.15598,370.6816,15,2
M12,Non-Bleached,T5,II,49105.76611,370.721,15,2
M24,Non-Bleached,T5,II,35901.03068,381.56424,16,2
M24,Non-Bleached,T5,II,56867.18877,384.25382,16,2
M12,Non-Bleached,T5,II,50352.92566,390.06444,16,2
M48,Non-Bleached,T5,III,2856.698,63.28,3,3
M14,Non-Bleached,T5,III,3024.386,75.237,4,3
M15,Non-Bleached,T5,III,5705.634,106.887,5,3
M15,Non-Bleached,T5,III,24678.42071,204.72393,9,3
M15,Non-Bleached,T5,III,29297.84,239.537,10,3
M29,Non-Bleached,T5,III,34801.682,253.317,11,3
M15,Non-Bleached,T5,III,33997.867,266.421,11,3
M29,Non-Bleached,T5,III,32281.223,269.594,11,3
M62,Non-Bleached,T5,III,41823.287,289.564,12,3
M62,Non-Bleached,T5,III,40264.51,296.587,12,3
M15,Non-Bleached,T5,III,38706.65,301.52,13,3
M29,Non-Bleached,T5,III,42594.009,302.879,13,3
M24,Non-Bleached,T5,III,35007.07,303.076,13,3
M12,Non-Bleached,T5,III,51575.389,305.761,13,3
M62,Non-Bleached,T5,III,39359.694,306.503,13,3
M24,Non-Bleached,T5,III,44862.763,307.881,13,3
M24,Non-Bleached,T5,III,43170.479,308.867,13,3
M29,Non-Bleached,T5,III,57123.516,310.391,13,3
M12,Non-Bleached,T5,III,38755.54,311.663,13,3
M62,Non-Bleached,T5,III,32746.701,311.739,13,3
M15,Non-Bleached,T5,III,30782.985,312.034,13,3
M29,Non-Bleached,T5,III,43969.987,312.467,13,3
M24,Non-Bleached,T5,III,38113.28,316.096,13,3
M29,Non-Bleached,T5,III,45141.248,318.629,13,3
M29,Non-Bleached,T5,III,50087.694,320.051,13,3
M29,Non-Bleached,T5,III,68269.758,321.917,13,3
M29,Non-Bleached,T5,III,58580.484,323.853,13,3
M62,Non-Bleached,T5,III,39687.134,328.975,14,3
M12,Non-Bleached,T5,III,43308.229,329.362,14,3
M29,Non-Bleached,T5,III,55736.255,330.421,14,3
M62,Non-Bleached,T5,III,53622.115,333.044,14,3
M29,Non-Bleached,T5,III,58381.452,333.337,14,3
M29,Non-Bleached,T5,III,49747.414,334.868,14,3
M29,Non-Bleached,T5,III,44551.032,334.956,14,3
M62,Non-Bleached,T5,III,38680.051,335.432,14,3
M12,Non-Bleached,T5,III,37431.745,336.574,14,3
M24,Non-Bleached,T5,III,43141.059,337.408,14,3
M62,Non-Bleached,T5,III,32390.369,338.179,14,3
M29,Non-Bleached,T5,III,64082.752,339.434,14,3
M29,Non-Bleached,T5,III,47221.452,339.823,14,3
M62,Non-Bleached,T5,III,38632.755,344.051,14,3
M29,Non-Bleached,T5,III,45786.955,344.103,14,3
M29,Non-Bleached,T5,III,43302.726,344.461,14,3
M24,Non-Bleached,T5,III,53695.032,346.488,14,3
M29,Non-Bleached,T5,III,65704.815,347.957,14,3
M24,Non-Bleached,T5,III,48120.853,347.963,14,3
M24,Non-Bleached,T5,III,51719.389,349.406,14,3
M29,Non-Bleached,T5,III,64979.771,350.97,15,3
M24,Non-Bleached,T5,III,55109.35,354.419,15,3
M29,Non-Bleached,T5,III,57348.688,359.19,15,3
M14,Non-Bleached,T5,III,38560.14649,359.56931,15,3
M29,Non-Bleached,T5,III,55743.134,362.036,15,3
M24,Non-Bleached,T5,III,54080.48105,365.38143,15,3
M29,Non-Bleached,T5,III,71989.911,366.325,15,3
M14,Non-Bleached,T5,III,32494.16694,366.45806,15,3
M29,Non-Bleached,T5,III,67231.032,367.005,15,3
M29,Non-Bleached,T5,III,57208.46,367.481,15,3
M29,Non-Bleached,T5,III,45603.057,367.562,15,3
M24,Non-Bleached,T5,III,50554.24241,367.71159,15,3
M29,Non-Bleached,T5,III,60783.134,368.449,15,3
M29,Non-Bleached,T5,III,60440.102,369.58,15,3
M29,Non-Bleached,T5,III,35065.834,369.863,15,3
M12,Non-Bleached,T5,III,38405.207,371.782,15,3
M29,Non-Bleached,T5,III,81629.197,372.49,15,3
M29,Non-Bleached,T5,III,62990.369,373.374,15,3
M24,Non-Bleached,T5,III,43403.618,374.579,15,3
M15,Non-Bleached,T5,III,41803.108,378.44,16,3
M15,Non-Bleached,T5,III,31275.31042,380.60652,16,3
M24,Non-Bleached,T5,III,54205.82,383.072,16,3
M24,Non-Bleached,T5,III,68061.554,385.607,16,3
M29,Non-Bleached,T5,III,65953.376,386.244,16,3
M29,Non-Bleached,T5,III,50365.146,387.114,16,3
M29,Non-Bleached,T5,III,74825.661,387.482,16,3
M29,Non-Bleached,T5,III,48485.299,387.803,16,3
M24,Non-Bleached,T5,III,66135.898,389.024,16,3
M62,Non-Bleached,T5,III,57652.267,389.18,16,3
M29,Non-Bleached,T5,III,65921.732,389.354,16,3
M29,Non-Bleached,T5,III,63245.809,391.964,16,3
M24,Non-Bleached,T5,III,50438.51952,393.06952,16,3
M29,Non-Bleached,T5,III,77056.051,393.234,16,3
M29,Non-Bleached,T5,III,83069.656,393.683,16,3
M29,Non-Bleached,T5,III,73966.93,394.389,16,3
M29,Non-Bleached,T5,III,60353.427,396.407,16,3
M15,Non-Bleached,T5,III,48408.871,397.242,16,3
M29,Non-Bleached,T5,III,70881.936,397.454,16,3
M29,Non-Bleached,T5,III,71595.975,401.279,17,3
M24,Non-Bleached,T5,III,68464.1292,401.71991,17,3
M15,Non-Bleached,T5,III,40172.724,402.701,17,3
M12,Non-Bleached,T5,III,48492.68585,403.06539,17,3
M24,Non-Bleached,T5,III,75917.41398,404.45605,17,3
M29,Non-Bleached,T5,III,68296.815,404.918,17,3
M29,Non-Bleached,T5,III,65407.643,405.018,17,3
M29,Non-Bleached,T5,III,58336.968,407.287,17,3
M24,Non-Bleached,T5,III,52297.682,407.398,17,3
M15,Non-Bleached,T5,III,39389.962,407.845,17,3
M24,Non-Bleached,T5,III,68519.82227,408.36216,17,3
M24,Non-Bleached,T5,III,50502.65785,410.07898,17,3
M29,Non-Bleached,T5,III,85913.885,410.385,17,3
M29,Non-Bleached,T5,III,60665.274,412.05,17,3
M29,Non-Bleached,T5,III,84415.185,412.508,17,3
M29,Non-Bleached,T5,III,50527.949,415.499,17,3
M24,Non-Bleached,T5,III,56706.95707,416.92753,17,3
M29,Non-Bleached,T5,III,67271.389,417.107,17,3
M48,Non-Bleached,T5,III,47322.913,417.666,17,3
M29,Non-Bleached,T5,III,49829.045,418.608,17,3
M24,Non-Bleached,T5,III,57821.503,419.029,17,3
M29,Non-Bleached,T5,III,80032.815,427.194,18,3
M29,Non-Bleached,T5,III,112140.688,427.637,18,3
M29,Non-Bleached,T5,III,69173.656,428.178,18,3
M29,Non-Bleached,T5,III,87932.178,428.343,18,3
M15,Non-Bleached,T5,III,49975.796,431.211,18,3
M24,Non-Bleached,T5,III,91213.37851,431.60335,18,3
M24,Non-Bleached,T5,III,49258.6938,436.06749,18,3
M24,Non-Bleached,T5,III,63818.005,436.387,18,3
M24,Non-Bleached,T5,III,69510.4285,441.87603,18,3
M29,Non-Bleached,T5,III,82412.484,442.759,18,3
M29,Non-Bleached,T5,III,102149.656,444.52,18,3
M15,Non-Bleached,T5,III,43302.726,449.232,18,3
M24,Non-Bleached,T5,III,59776.92339,450.84019,19,3
M29,Non-Bleached,T5,III,99798.879,452.499,19,3
M29,Non-Bleached,T5,III,56165.962,454.233,19,3
M29,Non-Bleached,T5,III,60347.924,454.661,19,3
M29,Non-Bleached,T5,III,74190.726,456.264,19,3
M29,Non-Bleached,T5,III,94509.401,457.979,19,3
M29,Non-Bleached,T5,III,76371.822,458.645,19,3
M29,Non-Bleached,T5,III,82189.146,464.543,19,3
M24,Non-Bleached,T5,III,64827.057,467.536,19,3
M12,Non-Bleached,T5,III,59121.631,468.333,19,3
M24,Non-Bleached,T5,III,97337.79013,473.89682,19,3
M29,Non-Bleached,T5,III,94387.873,475.72,20,3
M29,Non-Bleached,T5,III,97314.191,475.84,20,3
M15,Non-Bleached,T5,III,46096.97087,497.28125,20,3
M29,Non-Bleached,T5,III,80756.025,498.661,20,3
M29,Non-Bleached,T5,III,73143.287,508.551,21,3
M24,Non-Bleached,T5,III,65321.427,520.555,21,3
M29,Non-Bleached,T5,III,69182.828,527.946,22,3
M24,Non-Bleached,T5,III,66693.3635,530.96883,22,3
M24,Non-Bleached,T5,III,48374.4522,546.53596,22,3
M24,Non-Bleached,T5,III,166140.6428,568.54265,23,3
M29,Non-Bleached,T5,IV,61724.178,452.339,19,4
M15,Non-Bleached,T5,IV,47265.936,456.443,19,4
M29,Non-Bleached,T5,IV,87424.968,551.1,23,4
M24,Non-Bleached,T5,IV,95147.04391,554.97667,23,4
M24,Non-Bleached,T5,IV,69445.146,569.083,23,4
M29,Non-Bleached,T5,IV,96952.815,579.754,24,4
M29,Non-Bleached,T5,IV,65493.401,581.599,24,4
M24,Non-Bleached,T5,IV,87853.619,636.262,26,4
